;image_id;set_id;scene_id;version_id;dalt_id;coldef_type;is_correct;resp_time;observer_id;observer_coldef_type;session_id;filepath
235;41;1;3;2;4;1;0.0;0.7339411377906799;10;2;6;images/set1/0411040001.png
236;41;1;3;2;4;2;0.0;1.5346437692642212;10;2;6;images/set1/0411040002.png
237;41;1;3;2;99;1;0.0;0.6672322154045105;10;2;6;images/set1/0411990001.png
238;57;5;9;0;0;0;1.0;0.7509146332740784;11;0;4;images/set5/0570000000.png
239;58;5;9;1;0;0;1.0;0.6174764633178711;11;0;4;images/set5/0580000000.png
240;58;5;9;1;1;1;1.0;0.6839339733123779;11;0;4;images/set5/0581010001.png
241;58;5;9;1;1;2;1.0;0.5004358291625977;11;0;4;images/set5/0581010002.png
242;58;5;9;1;2;1;1.0;1.5513768196105957;11;0;4;images/set5/0581020001.png
243;58;5;9;1;2;2;1.0;1.3846615552902222;11;0;4;images/set5/0581020002.png
244;58;5;9;1;3;1;1.0;0.583879828453064;11;0;4;images/set5/0581030001.png
245;58;5;9;1;3;2;1.0;0.600561797618866;11;0;4;images/set5/0581030002.png
246;58;5;9;1;4;1;1.0;0.8173589110374451;11;0;4;images/set5/0581040001.png
247;58;5;9;1;4;2;1.0;0.5672231316566467;11;0;4;images/set5/0581040002.png
248;58;5;9;1;99;1;0.0;0.8340853452682495;11;0;4;images/set5/0581990001.png
249;59;5;9;2;0;0;1.0;0.9842559695243835;11;0;4;images/set5/0590000000.png
250;59;5;9;2;1;1;1.0;0.9341557621955872;11;0;4;images/set5/0591010001.png
251;59;5;9;2;1;2;1.0;0.7676265239715576;11;0;4;images/set5/0591010002.png
252;59;5;9;2;2;1;1.0;0.6839913129806519;11;0;4;images/set5/0591020001.png
253;59;5;9;2;2;2;1.0;0.7006048560142517;11;0;4;images/set5/0591020002.png
254;59;5;9;2;3;1;1.0;0.6839647889137268;11;0;4;images/set5/0591030001.png
255;59;5;9;2;3;2;1.0;0.7339490652084351;11;0;4;images/set5/0591030002.png
256;59;5;9;2;4;1;1.0;0.8674390316009521;11;0;4;images/set5/0591040001.png
257;59;5;9;2;4;2;1.0;0.7841023206710815;11;0;4;images/set5/0591040002.png
258;59;5;9;2;99;1;1.0;0.8010174036026001;11;0;4;images/set5/0591990001.png
259;70;9;14;0;0;0;1.0;0.9008448719978333;11;0;4;images/set9/0700000000.png
260;71;9;14;1;0;0;1.0;0.6839553713798523;11;0;4;images/set9/0710000000.png
261;71;9;14;1;1;1;1.0;0.7339944243431091;11;0;4;images/set9/0711010001.png
262;71;9;14;1;1;2;1.0;0.6172604560852051;11;0;4;images/set9/0711010002.png
263;71;9;14;1;2;1;0.0;1.8350750207901;11;0;4;images/set9/0711020001.png
264;71;9;14;1;2;2;1.0;0.8508541584014893;11;0;4;images/set9/0711020002.png
265;71;9;14;1;3;1;1.0;0.8843480944633484;11;0;4;images/set9/0711030001.png
266;71;9;14;1;3;2;1.0;0.817387580871582;11;0;4;images/set9/0711030002.png
267;71;9;14;1;4;1;1.0;1.0176472663879395;11;0;4;images/set9/0711040001.png
268;71;9;14;1;4;2;1.0;0.7173975706100464;11;0;4;images/set9/0711040002.png
269;71;9;14;1;99;1;0.0;1.0512275695800781;11;0;4;images/set9/0711990001.png
270;72;9;14;2;0;0;1.0;0.6839951276779175;11;0;4;images/set9/0720000000.png
271;72;9;14;2;1;1;1.0;0.6505858898162842;11;0;4;images/set9/0721010001.png
272;72;9;14;2;1;2;1.0;1.3679753541946411;11;0;4;images/set9/0721010002.png
273;72;9;14;2;2;1;1.0;0.6506320834159851;11;0;4;images/set9/0721020001.png
274;72;9;14;2;2;2;1.0;0.7006608843803406;11;0;4;images/set9/0721020002.png
275;72;9;14;2;3;1;1.0;0.6504969596862793;11;0;4;images/set9/0721030001.png
276;72;9;14;2;3;2;1.0;1.3512206077575684;11;0;4;images/set9/0721030002.png
277;72;9;14;2;4;1;1.0;0.900671660900116;11;0;4;images/set9/0721040001.png
278;72;9;14;2;4;2;1.0;2.0854482650756836;11;0;4;images/set9/0721040002.png
279;72;9;14;2;99;1;1.0;0.9007695913314819;11;0;4;images/set9/0721990001.png
280;79;11;17;1;0;0;1.0;0.9508253335952759;11;0;4;images/set11/0790000000.png
281;79;11;17;1;1;1;1.0;0.8173768520355225;11;0;4;images/set11/0791010001.png
282;79;11;17;1;1;2;1.0;0.6672464609146118;11;0;4;images/set11/0791010002.png
283;79;11;17;1;2;1;1.0;0.7006206512451172;11;0;4;images/set11/0791020001.png
284;79;11;17;1;2;2;1.0;1.0175933837890625;11;0;4;images/set11/0791020002.png
285;79;11;17;1;3;1;0.0;1.3010896444320679;11;0;4;images/set11/0791030001.png
286;79;11;17;1;3;2;1.0;1.084291696548462;11;0;4;images/set11/0791030002.png
287;79;11;17;1;4;1;1.0;1.7013660669326782;11;0;4;images/set11/0791040001.png
288;79;11;17;1;4;2;1.0;0.5839290022850037;11;0;4;images/set11/0791040002.png
289;79;11;17;1;99;1;0.0;1.0008515119552612;11;0;4;images/set11/0791990001.png
290;80;11;17;2;0;0;1.0;0.7673643231391907;11;0;4;images/set11/0800000000.png
291;80;11;17;2;1;1;1.0;0.76759272813797;11;0;4;images/set11/0801010001.png
292;80;11;17;2;1;2;1.0;1.2512776851654053;11;0;4;images/set11/0801010002.png
293;80;11;17;2;2;1;1.0;0.7509368658065796;11;0;4;images/set11/0801020001.png
294;80;11;17;2;2;2;1.0;1.1343046426773071;11;0;4;images/set11/0801020002.png
295;80;11;17;2;3;1;1.0;1.9682894945144653;11;0;4;images/set11/0801030001.png
296;80;11;17;2;3;2;1.0;2.7191998958587646;11;0;4;images/set11/0801030002.png
297;80;11;17;2;4;1;0.0;1.001103401184082;11;0;4;images/set11/0801040001.png
298;80;11;17;2;4;2;1.0;1.351173996925354;11;0;4;images/set11/0801040002.png
299;80;11;17;2;99;1;1.0;0.934208333492279;11;0;4;images/set11/0801990001.png
300;63;7;11;1;0;0;1.0;0.5004952549934387;11;0;4;images/set7/0630000000.png
301;63;7;11;1;1;1;1.0;0.5506365299224854;11;0;4;images/set7/0631010001.png
